city,countryId,lastUpdate
"A Corua (La Corua)",87,"2006-02-15 04:45:25"
Abha,82,"2006-02-15 04:45:25"
"Abu Dhabi",101,"2006-02-15 04:45:25"
Acua,60,"2006-02-15 04:45:25"
Adana,97,"2006-02-15 04:45:25"
"Addis Abeba",31,"2006-02-15 04:45:25"
Aden,107,"2006-02-15 04:45:25"
Adoni,44,"2006-02-15 04:45:25"
Ahmadnagar,44,"2006-02-15 04:45:25"
Akishima,50,"2006-02-15 04:45:25"
Akron,103,"2006-02-15 04:45:25"
al-Ayn,101,"2006-02-15 04:45:25"
al-Hawiya,82,"2006-02-15 04:45:25"
al-Manama,11,"2006-02-15 04:45:25"
al-Qadarif,89,"2006-02-15 04:45:25"
al-Qatif,82,"2006-02-15 04:45:25"
Alessandria,49,"2006-02-15 04:45:25"
"Allappuzha (Alleppey)",44,"2006-02-15 04:45:25"
Allende,60,"2006-02-15 04:45:25"
"Almirante Brown",6,"2006-02-15 04:45:25"
Alvorada,15,"2006-02-15 04:45:25"
Ambattur,44,"2006-02-15 04:45:25"
Amersfoort,67,"2006-02-15 04:45:25"
Amroha,44,"2006-02-15 04:45:25"
"Angra dos Reis",15,"2006-02-15 04:45:25"
Anpolis,15,"2006-02-15 04:45:25"
Antofagasta,22,"2006-02-15 04:45:25"
"Aparecida de Goinia",15,"2006-02-15 04:45:25"
Apeldoorn,67,"2006-02-15 04:45:25"
Araatuba,15,"2006-02-15 04:45:25"
Arak,46,"2006-02-15 04:45:25"
Arecibo,77,"2006-02-15 04:45:25"
Arlington,103,"2006-02-15 04:45:25"
Ashdod,48,"2006-02-15 04:45:25"
Ashgabat,98,"2006-02-15 04:45:25"
Ashqelon,48,"2006-02-15 04:45:25"
Asuncin,73,"2006-02-15 04:45:25"
Athenai,39,"2006-02-15 04:45:25"
Atinsk,80,"2006-02-15 04:45:25"
Atlixco,60,"2006-02-15 04:45:25"
"Augusta-Richmond County",103,"2006-02-15 04:45:25"
Aurora,103,"2006-02-15 04:45:25"
Avellaneda,6,"2006-02-15 04:45:25"
Bag,15,"2006-02-15 04:45:25"
"Baha Blanca",6,"2006-02-15 04:45:25"
Baicheng,23,"2006-02-15 04:45:25"
Baiyin,23,"2006-02-15 04:45:25"
Baku,10,"2006-02-15 04:45:25"
Balaiha,80,"2006-02-15 04:45:25"
Balikesir,97,"2006-02-15 04:45:25"
Balurghat,44,"2006-02-15 04:45:25"
Bamenda,19,"2006-02-15 04:45:25"
"Bandar Seri Begawan",16,"2006-02-15 04:45:25"
Banjul,37,"2006-02-15 04:45:25"
Barcelona,104,"2006-02-15 04:45:25"
Basel,91,"2006-02-15 04:45:25"
"Bat Yam",48,"2006-02-15 04:45:25"
Batman,97,"2006-02-15 04:45:25"
Batna,2,"2006-02-15 04:45:25"
Battambang,18,"2006-02-15 04:45:25"
Baybay,75,"2006-02-15 04:45:25"
Bayugan,75,"2006-02-15 04:45:25"
Bchar,2,"2006-02-15 04:45:25"
Beira,63,"2006-02-15 04:45:25"
Bellevue,103,"2006-02-15 04:45:25"
Belm,15,"2006-02-15 04:45:25"
Benguela,4,"2006-02-15 04:45:25"
Beni-Mellal,62,"2006-02-15 04:45:25"
"Benin City",69,"2006-02-15 04:45:25"
Bergamo,49,"2006-02-15 04:45:25"
"Berhampore (Baharampur)",44,"2006-02-15 04:45:25"
Bern,91,"2006-02-15 04:45:25"
Bhavnagar,44,"2006-02-15 04:45:25"
Bhilwara,44,"2006-02-15 04:45:25"
Bhimavaram,44,"2006-02-15 04:45:25"
Bhopal,44,"2006-02-15 04:45:25"
Bhusawal,44,"2006-02-15 04:45:25"
Bijapur,44,"2006-02-15 04:45:25"
Bilbays,29,"2006-02-15 04:45:25"
Binzhou,23,"2006-02-15 04:45:25"
Birgunj,66,"2006-02-15 04:45:25"
Bislig,75,"2006-02-15 04:45:25"
Blumenau,15,"2006-02-15 04:45:25"
"Boa Vista",15,"2006-02-15 04:45:25"
Boksburg,85,"2006-02-15 04:45:25"
Botosani,78,"2006-02-15 04:45:25"
Botshabelo,85,"2006-02-15 04:45:25"
Bradford,102,"2006-02-15 04:45:25"
Braslia,15,"2006-02-15 04:45:25"
Bratislava,84,"2006-02-15 04:45:25"
Brescia,49,"2006-02-15 04:45:25"
Brest,34,"2006-02-15 04:45:25"
Brindisi,49,"2006-02-15 04:45:25"
Brockton,103,"2006-02-15 04:45:25"
Bucuresti,78,"2006-02-15 04:45:25"
Buenaventura,24,"2006-02-15 04:45:25"
Bydgoszcz,76,"2006-02-15 04:45:25"
Cabuyao,75,"2006-02-15 04:45:25"
Callao,74,"2006-02-15 04:45:25"
"Cam Ranh",105,"2006-02-15 04:45:25"
"Cape Coral",103,"2006-02-15 04:45:25"
Caracas,104,"2006-02-15 04:45:25"
Carmen,60,"2006-02-15 04:45:25"
Cavite,75,"2006-02-15 04:45:25"
Cayenne,35,"2006-02-15 04:45:25"
Celaya,60,"2006-02-15 04:45:25"
Chandrapur,44,"2006-02-15 04:45:25"
Changhwa,92,"2006-02-15 04:45:25"
Changzhou,23,"2006-02-15 04:45:25"
Chapra,44,"2006-02-15 04:45:25"
"Charlotte Amalie",106,"2006-02-15 04:45:25"
Chatsworth,85,"2006-02-15 04:45:25"
Cheju,86,"2006-02-15 04:45:25"
Chiayi,92,"2006-02-15 04:45:25"
Chisinau,61,"2006-02-15 04:45:25"
Chungho,92,"2006-02-15 04:45:25"
Cianjur,45,"2006-02-15 04:45:25"
Ciomas,45,"2006-02-15 04:45:25"
Ciparay,45,"2006-02-15 04:45:25"
"Citrus Heights",103,"2006-02-15 04:45:25"
"Citt del Vaticano",41,"2006-02-15 04:45:25"
"Ciudad del Este",73,"2006-02-15 04:45:25"
Clarksville,103,"2006-02-15 04:45:25"
"Coacalco de Berriozbal",60,"2006-02-15 04:45:25"
Coatzacoalcos,60,"2006-02-15 04:45:25"
Compton,103,"2006-02-15 04:45:25"
Coquimbo,22,"2006-02-15 04:45:25"
Crdoba,6,"2006-02-15 04:45:25"
Cuauhtmoc,60,"2006-02-15 04:45:25"
Cuautla,60,"2006-02-15 04:45:25"
Cuernavaca,60,"2006-02-15 04:45:25"
Cuman,104,"2006-02-15 04:45:25"
Czestochowa,76,"2006-02-15 04:45:25"
Dadu,72,"2006-02-15 04:45:25"
Dallas,103,"2006-02-15 04:45:25"
Datong,23,"2006-02-15 04:45:25"
Daugavpils,54,"2006-02-15 04:45:25"
Davao,75,"2006-02-15 04:45:25"
Daxian,23,"2006-02-15 04:45:25"
Dayton,103,"2006-02-15 04:45:25"
"Deba Habe",69,"2006-02-15 04:45:25"
Denizli,97,"2006-02-15 04:45:25"
Dhaka,12,"2006-02-15 04:45:25"
"Dhule (Dhulia)",44,"2006-02-15 04:45:25"
Dongying,23,"2006-02-15 04:45:25"
"Donostia-San Sebastin",87,"2006-02-15 04:45:25"
"Dos Quebradas",24,"2006-02-15 04:45:25"
Duisburg,38,"2006-02-15 04:45:25"
Dundee,102,"2006-02-15 04:45:25"
Dzerzinsk,80,"2006-02-15 04:45:25"
Ede,67,"2006-02-15 04:45:25"
Effon-Alaiye,69,"2006-02-15 04:45:25"
"El Alto",14,"2006-02-15 04:45:25"
"El Fuerte",60,"2006-02-15 04:45:25"
"El Monte",103,"2006-02-15 04:45:25"
Elista,80,"2006-02-15 04:45:25"
Emeishan,23,"2006-02-15 04:45:25"
Emmen,67,"2006-02-15 04:45:25"
Enshi,23,"2006-02-15 04:45:25"
Erlangen,38,"2006-02-15 04:45:25"
Escobar,6,"2006-02-15 04:45:25"
Esfahan,46,"2006-02-15 04:45:25"
Eskisehir,97,"2006-02-15 04:45:25"
Etawah,44,"2006-02-15 04:45:25"
Ezeiza,6,"2006-02-15 04:45:25"
Ezhou,23,"2006-02-15 04:45:25"
Faaa,36,"2006-02-15 04:45:25"
Fengshan,92,"2006-02-15 04:45:25"
Firozabad,44,"2006-02-15 04:45:25"
Florencia,24,"2006-02-15 04:45:25"
Fontana,103,"2006-02-15 04:45:25"
Fukuyama,50,"2006-02-15 04:45:25"
Funafuti,99,"2006-02-15 04:45:25"
Fuyu,23,"2006-02-15 04:45:25"
Fuzhou,23,"2006-02-15 04:45:25"
Gandhinagar,44,"2006-02-15 04:45:25"
"Garden Grove",103,"2006-02-15 04:45:25"
Garland,103,"2006-02-15 04:45:25"
Gatineau,20,"2006-02-15 04:45:25"
Gaziantep,97,"2006-02-15 04:45:25"
Gijn,87,"2006-02-15 04:45:25"
Gingoog,75,"2006-02-15 04:45:25"
Goinia,15,"2006-02-15 04:45:25"
Gorontalo,45,"2006-02-15 04:45:25"
"Grand Prairie",103,"2006-02-15 04:45:25"
Graz,9,"2006-02-15 04:45:25"
Greensboro,103,"2006-02-15 04:45:25"
Guadalajara,60,"2006-02-15 04:45:25"
Guaruj,15,"2006-02-15 04:45:25"
"guas Lindas de Gois",15,"2006-02-15 04:45:25"
Gulbarga,44,"2006-02-15 04:45:25"
Hagonoy,75,"2006-02-15 04:45:25"
Haining,23,"2006-02-15 04:45:25"
Haiphong,105,"2006-02-15 04:45:25"
Haldia,44,"2006-02-15 04:45:25"
Halifax,20,"2006-02-15 04:45:25"
Halisahar,44,"2006-02-15 04:45:25"
Halle/Saale,38,"2006-02-15 04:45:25"
Hami,23,"2006-02-15 04:45:25"
Hamilton,68,"2006-02-15 04:45:25"
Hanoi,105,"2006-02-15 04:45:25"
Hidalgo,60,"2006-02-15 04:45:25"
Higashiosaka,50,"2006-02-15 04:45:25"
Hino,50,"2006-02-15 04:45:25"
Hiroshima,50,"2006-02-15 04:45:25"
Hodeida,107,"2006-02-15 04:45:25"
Hohhot,23,"2006-02-15 04:45:25"
Hoshiarpur,44,"2006-02-15 04:45:25"
Hsichuh,92,"2006-02-15 04:45:25"
Huaian,23,"2006-02-15 04:45:25"
Hubli-Dharwad,44,"2006-02-15 04:45:25"
"Huejutla de Reyes",60,"2006-02-15 04:45:25"
Huixquilucan,60,"2006-02-15 04:45:25"
Hunuco,74,"2006-02-15 04:45:25"
Ibirit,15,"2006-02-15 04:45:25"
Idfu,29,"2006-02-15 04:45:25"
Ife,69,"2006-02-15 04:45:25"
Ikerre,69,"2006-02-15 04:45:25"
Iligan,75,"2006-02-15 04:45:25"
Ilorin,69,"2006-02-15 04:45:25"
Imus,75,"2006-02-15 04:45:25"
Inegl,97,"2006-02-15 04:45:25"
Ipoh,59,"2006-02-15 04:45:25"
Isesaki,50,"2006-02-15 04:45:25"
Ivanovo,80,"2006-02-15 04:45:25"
Iwaki,50,"2006-02-15 04:45:25"
Iwakuni,50,"2006-02-15 04:45:25"
Iwatsuki,50,"2006-02-15 04:45:25"
Izumisano,50,"2006-02-15 04:45:25"
Jaffna,88,"2006-02-15 04:45:25"
Jaipur,44,"2006-02-15 04:45:25"
Jakarta,45,"2006-02-15 04:45:25"
"Jalib al-Shuyukh",53,"2006-02-15 04:45:25"
Jamalpur,12,"2006-02-15 04:45:25"
Jaroslavl,80,"2006-02-15 04:45:25"
Jastrzebie-Zdrj,76,"2006-02-15 04:45:25"
Jedda,82,"2006-02-15 04:45:25"
Jelets,80,"2006-02-15 04:45:25"
Jhansi,44,"2006-02-15 04:45:25"
Jinchang,23,"2006-02-15 04:45:25"
Jining,23,"2006-02-15 04:45:25"
Jinzhou,23,"2006-02-15 04:45:25"
Jodhpur,44,"2006-02-15 04:45:25"
Johannesburg,85,"2006-02-15 04:45:25"
Joliet,103,"2006-02-15 04:45:25"
"Jos Azueta",60,"2006-02-15 04:45:25"
"Juazeiro do Norte",15,"2006-02-15 04:45:25"
"Juiz de Fora",15,"2006-02-15 04:45:25"
Junan,23,"2006-02-15 04:45:25"
Jurez,60,"2006-02-15 04:45:25"
Kabul,1,"2006-02-15 04:45:25"
Kaduna,69,"2006-02-15 04:45:25"
Kakamigahara,50,"2006-02-15 04:45:25"
Kaliningrad,80,"2006-02-15 04:45:25"
Kalisz,76,"2006-02-15 04:45:25"
Kamakura,50,"2006-02-15 04:45:25"
Kamarhati,44,"2006-02-15 04:45:25"
Kamjanets-Podilskyi,100,"2006-02-15 04:45:25"
Kamyin,80,"2006-02-15 04:45:25"
Kanazawa,50,"2006-02-15 04:45:25"
Kanchrapara,44,"2006-02-15 04:45:25"
"Kansas City",103,"2006-02-15 04:45:25"
Karnal,44,"2006-02-15 04:45:25"
Katihar,44,"2006-02-15 04:45:25"
Kermanshah,46,"2006-02-15 04:45:25"
Kilis,97,"2006-02-15 04:45:25"
Kimberley,85,"2006-02-15 04:45:25"
Kimchon,86,"2006-02-15 04:45:25"
Kingstown,81,"2006-02-15 04:45:25"
Kirovo-Tepetsk,80,"2006-02-15 04:45:25"
Kisumu,52,"2006-02-15 04:45:25"
Kitwe,109,"2006-02-15 04:45:25"
Klerksdorp,85,"2006-02-15 04:45:25"
Kolpino,80,"2006-02-15 04:45:25"
Konotop,100,"2006-02-15 04:45:25"
Koriyama,50,"2006-02-15 04:45:25"
Korla,23,"2006-02-15 04:45:25"
Korolev,80,"2006-02-15 04:45:25"
"Kowloon and New Kowloon",42,"2006-02-15 04:45:25"
Kragujevac,108,"2006-02-15 04:45:25"
Ktahya,97,"2006-02-15 04:45:25"
Kuching,59,"2006-02-15 04:45:25"
Kumbakonam,44,"2006-02-15 04:45:25"
Kurashiki,50,"2006-02-15 04:45:25"
Kurgan,80,"2006-02-15 04:45:25"
Kursk,80,"2006-02-15 04:45:25"
Kuwana,50,"2006-02-15 04:45:25"
"La Paz",60,"2006-02-15 04:45:25"
"La Plata",6,"2006-02-15 04:45:25"
"La Romana",27,"2006-02-15 04:45:25"
Laiwu,23,"2006-02-15 04:45:25"
Lancaster,103,"2006-02-15 04:45:25"
Laohekou,23,"2006-02-15 04:45:25"
Lapu-Lapu,75,"2006-02-15 04:45:25"
Laredo,103,"2006-02-15 04:45:25"
Lausanne,91,"2006-02-15 04:45:25"
"Le Mans",34,"2006-02-15 04:45:25"
Lengshuijiang,23,"2006-02-15 04:45:25"
Leshan,23,"2006-02-15 04:45:25"
Lethbridge,20,"2006-02-15 04:45:25"
